type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799764378,BTC-USD,48144.34,54961.08,71012.70751678,44888.08,55043.63,854300.94781625,48140.62,48144.34,buy,2021-02-23T21:35:59.939574Z,137333043,0.02036141,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764504,BTC-USD,48141.52,54961.08,71012.70800220,44888.08,55043.63,854300.94830167,48141.51,48141.52,buy,2021-02-23T21:36:00.109254Z,137333044,0.00048542,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764538,BTC-USD,48141.52,54961.08,71012.72837254,44888.08,55043.63,854300.96867201,48135.19,48141.52,buy,2021-02-23T21:36:00.149199Z,137333045,0.02037034,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764639,BTC-USD,48141.12,54961.08,71012.74466504,44888.08,55043.63,854300.98496451,48133.92,48141.12,buy,2021-02-23T21:36:00.266528Z,137333047,0.00485681,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764965,BTC-USD,48143.63,54961.08,71012.80890504,44888.08,55043.63,854301.04920451,48135.19,48143.95,buy,2021-02-23T21:36:00.817468Z,137333048,0.06424,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764979,BTC-USD,48143.99,54961.08,71012.84715418,44888.08,55043.63,854301.08745365,48135.19,48143.99,buy,2021-02-23T21:36:00.842205Z,137333050,0.00068228,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765043,BTC-USD,48135.19,54961.08,71012.84736218,44888.08,55043.63,854301.08766165,48135.19,48143.64,sell,2021-02-23T21:36:01.021521Z,137333051,0.000208,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765180,BTC-USD,48137.7,54961.08,71012.84814710,44888.08,55043.63,854301.08844657,48135.59,48137.70,buy,2021-02-23T21:36:01.304664Z,137333052,0.00078492,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765241,BTC-USD,48137.7,54961.08,71012.84833310,44888.08,55043.63,854301.08863257,48137.69,48137.70,buy,2021-02-23T21:36:01.436804Z,137333053,0.000186,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765312,BTC-USD,48137.7,54961.08,71012.84851941,44888.08,55043.63,854301.08881888,48137.69,48137.70,buy,2021-02-23T21:36:01.662439Z,137333054,0.00018631,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
